company_id,record_id,company_name,open_win,open_draw,open_lose,open_win_prob,open_draw_prob,open_lose_prob,open_payout_rate,cur_win,cur_draw,cur_lose,cur_win_prob,cur_draw_prob,cur_lose_prob,cur_payout_rate,kelly_win,kelly_draw,kelly_lose,change_time,label,flag1,flag2,hist_kelly_win,hist_kelly_draw,hist_kelly_lose
281,151032146,Bet 365,2.7,3.1,2.5,33.89,29.51,36.6,91.5,2.4,3.3,2.87,39.01,28.37,32.62,93.62,0.85,0.98,1.00,"2026,03-1,06,23,30,00",36*(英国),1,0,0.96,0.92,0.87
80,151084403,Macauslot,2.5,3.13,2.48,35.63,28.46,35.92,89.07,2.4,3.13,2.6,37.18,28.51,34.32,89.22,0.85,0.93,0.90,"2026,03-1,06,23,30,00",澳*,1,0,0.89,0.93,0.86
432,151131596,HK Jockey Club,2.62,2.92,2.45,33.71,30.24,36.05,88.32,2.43,2.92,2.64,36.33,30.23,33.44,88.28,0.86,0.87,0.92,"2026,03-1,06,23,30,00",香港马*(中国香港),1,0,0.93,0.87,0.85
115,151025873,William Hill,2.63,2.9,2.5,33.8,30.65,35.55,88.88,2.4,3,2.7,37.19,29.75,33.06,89.26,0.85,0.89,0.94,"2026,03-1,06,23,19,00",威*(英国),1,0,0.93,0.86,0.87
82,151023460,Ladbrokes,2.25,3.1,2.8,39.54,28.7,31.77,88.95,2.4,3,2.7,37.19,29.75,33.06,89.26,0.85,0.89,0.94,"2026,03-1,06,23,30,00",立*(英国),1,0,0.80,0.92,0.97
81,151109634,Vcbet,2.63,3.1,2.6,34.97,29.66,35.37,91.96,2.5,3.1,2.88,37.39,30.15,32.46,93.48,0.89,0.92,1.00,"2026,03-1,06,23,30,00",伟*(直布罗陀),1,0,0.93,0.92,0.90
90,151029035,Easybets,2.7,3.1,2.5,33.89,29.51,36.6,91.5,2.47,3.1,2.8,37.33,29.74,32.93,92.2,0.88,0.92,0.97,"2026,03-1,06,23,30,00",易*(安提瓜和巴布达),1,0,0.96,0.92,0.87
104,150972725,Interwetten,2.3,3.15,2.9,39.63,28.94,31.43,91.15,2.5,3,2.75,36.46,30.39,33.15,91.16,0.89,0.89,0.96,"2026,03-1,06,23,30,00",Interwet*(塞浦路斯),1,0,0.81,0.94,1.01
16,150941778,10BET,2.28,3.2,2.95,40.24,28.67,31.1,91.74,2.55,3.15,2.8,36.76,29.76,33.48,93.74,0.90,0.94,0.97,"2026,03-1,06,23,11,00",10*(英国),1,0,0.81,0.95,1.03
18,151051833,12bet,2.63,3.1,2.4,33.96,28.82,37.22,89.33,2.47,3.1,2.8,37.33,29.74,32.93,92.2,0.88,0.92,0.97,"2026,03-1,06,23,30,00",12*(菲律宾),1,0,0.93,0.92,0.83
976,150915823,18Bet,2.25,3.25,2.95,40.73,28.2,31.07,91.65,2.4,3.3,2.85,38.92,28.31,32.77,93.41,0.85,0.98,0.99,"2026,03-1,06,23,30,00",18*,1,0,0.80,0.97,1.03
255,151023656,Bwin,2.35,3.3,2.9,39.64,28.23,32.13,93.16,2.5,3.2,2.75,37.17,29.04,33.79,92.93,0.89,0.95,0.96,"2026,03-1,06,23,30,00",Bwi*(奥地利),1,0,0.83,0.98,1.01
88,151025030,Coral,2.4,3,2.7,37.19,29.75,33.06,89.26,2.62,3.1,2.4,34.05,28.78,37.17,89.21,0.93,0.92,0.83,"2026,03-1,06,22,26,00",Cora*(英国),1,0,0.85,0.89,0.94
545,151028299,Crown,2.67,3.25,2.5,34.61,28.43,36.96,92.4,2.47,3.2,2.75,37.45,28.91,33.64,92.51,0.88,0.95,0.96,"2026,03-1,06,23,30,00",Crow*,1,0,0.95,0.97,0.87
649,151053228,IBCBET,2.63,3.1,2.4,33.96,28.82,37.22,89.33,2.68,3.1,2.46,33.85,29.27,36.88,90.73,0.95,0.92,0.86,"2026,03-1,06,22,26,00",IBC*(哥斯达黎加),1,0,0.93,0.92,0.83
177,151023870,Pinnacle,2.79,3.22,2.53,33.68,29.18,37.14,93.96,2.57,3.21,2.96,37.47,30,32.53,96.3,0.91,0.96,1.03,"2026,03-1,06,23,30,00",Pinna*(荷兰),1,0,0.99,0.96,0.88
422,151025029,Sportingbet,2.5,3.2,2.8,37.4,29.22,33.39,93.49,2.75,3.2,2.5,33.79,29.04,37.17,92.93,0.97,0.95,0.87,"2026,03-1,06,22,26,00",博天*(瓦努阿图),1,0,0.89,0.95,0.97
499,151028234,188bet,2.67,3.25,2.5,34.61,28.43,36.96,92.4,2.47,3.2,2.75,37.45,28.91,33.64,92.51,0.88,0.95,0.96,"2026,03-1,06,23,30,00",金宝*(马恩岛),1,0,0.95,0.97,0.87
474,151085063,Sbobet,2.57,2.94,2.54,34.65,30.29,35.06,89.05,2.38,3.02,2.85,38.12,30.04,31.84,90.73,0.84,0.90,0.99,"2026,03-1,06,23,30,00",利*(英国),1,0,0.91,0.88,0.88
517,151053744,Mansion88,2.63,3.1,2.4,33.96,28.82,37.22,89.33,2.38,3.1,2.8,38.2,29.33,32.47,90.92,0.84,0.92,0.97,"2026,03-1,06,23,30,00",明*(菲律宾),1,0,0.93,0.92,0.83
659,150986155,Wewbet,2.33,3.11,2.85,38.96,29.19,31.85,90.78,2.42,3.02,2.89,37.9,30.37,31.73,91.71,0.86,0.90,1.00,"2026,03-1,06,23,30,00",盈*(菲律宾),1,0,0.83,0.93,0.99
70,151108160,Expekt,2.6,3.15,2.55,35.15,29.01,35.84,91.39,2.6,3.15,2.55,35.15,29.01,35.84,91.39,0.92,0.94,0.89,"2026,03-1,04,10,40,00",Exp*(瑞典),0,0,0.92,0.94,0.89
110,151025028,SNAI,2.5,3.15,2.6,36.3,28.81,34.9,90.74,2.7,3.1,2.5,33.89,29.51,36.6,91.5,0.96,0.92,0.87,"2026,03-1,06,22,25,00",SNA*(意大利),0,0,0.89,0.94,0.90
2,151075571,Betfair,2.6,3.05,2.6,35.06,29.89,35.06,91.15,2.92,3.25,2.74,33.74,30.31,35.95,98.51,1.03,0.97,0.95,"2026,03-1,06,22,26,00",Betfai*(英国),0,1,0.92,0.91,0.90
665,151009924,Betsson,2.32,3.15,3.05,40.05,29.49,30.46,92.91,2.52,3.05,2.88,37.02,30.59,32.39,93.29,0.89,0.91,1.00,"2026,03-1,06,23,05,00",Bets*(瑞典),0,1,0.82,0.94,1.06
352,151158076,Matchbook,2.64,2.94,2.7,34.77,31.23,34,91.8,2.66,3.3,3.05,37.34,30.1,32.56,99.32,0.94,0.98,1.06,"2026,03-1,06,23,13,00",Matchb*(安提瓜和巴布达),0,1,0.94,0.88,0.94
800,150966936,Marathon,2.32,3.26,2.93,39.94,28.43,31.63,92.67,2.74,3.05,2.59,33.83,30.39,35.79,92.68,0.97,0.91,0.90,"2026,03-1,06,22,26,00",马*(荷属安的列斯群岛),0,0,0.82,0.97,1.02
386,150966926,Unibet,2.25,3.2,2.9,40.34,28.36,31.3,90.76,2.7,3.15,2.55,34.29,29.39,36.31,92.59,0.96,0.94,0.89,"2026,03-1,06,22,26,00",优胜*(马耳他),0,0,0.80,0.95,1.01
1017,151162738,BetVictor,2.62,3,2.62,34.8,30.39,34.8,91.18,2.55,3.12,2.8,36.66,29.96,33.38,93.47,0.90,0.93,0.97,"2026,03-1,06,23,05,00",BetVic*,1,0,0.93,0.89,0.91
777,150949006,1Bet,2.25,3.25,2.95,40.73,28.2,31.07,91.65,2.55,3.2,2.75,36.71,29.25,34.04,93.61,0.90,0.95,0.96,"2026,03-1,06,23,05,00",1Be*(直布罗陀),0,0,0.80,0.97,1.03
1047,150941499,1xBet,2.33,3.3,3.01,40.32,28.47,31.21,93.95,2.46,3.38,2.94,38.99,28.38,32.63,95.92,0.87,1.01,1.02,"2026,03-1,06,23,30,00",1xBe*,0,0,0.83,0.98,1.05
1359,151090476,1xBit,2.62,3.2,2.6,35.38,28.97,35.65,92.7,2.79,3.04,2.55,33.2,30.47,36.33,92.63,0.99,0.91,0.89,"2026,03-1,06,21,13,00",1xBi*,0,0,0.93,0.95,0.90
1370,150949004,20Bet,2.29,3.24,2.95,40.27,28.46,31.26,92.22,2.57,2.98,2.66,35.35,30.49,34.16,90.86,0.91,0.89,0.92,"2026,03-1,06,23,05,00",20Be*,0,0,0.81,0.97,1.03
1229,150942372,22Bet,2.33,3.3,3,40.28,28.44,31.28,93.85,2.56,3.05,2.77,36.19,30.37,33.44,92.64,0.91,0.91,0.96,"2026,03-1,06,23,05,00",22Be*,0,0,0.83,0.98,1.04
1399,150965422,4rabet,2.32,3.15,2.96,39.68,29.22,31.1,92.05,2.5,3.1,2.74,36.78,29.66,33.56,91.95,0.89,0.92,0.95,"2026,03-1,06,23,05,00",4rabe*,0,0,0.82,0.94,1.03
616,151025716,888Sport,2.62,2.9,2.5,33.88,30.61,35.51,88.77,2.5,2.9,2.7,35.87,30.92,33.21,89.67,0.89,0.86,0.94,"2026,03-1,06,23,05,00",888Sp*(直布罗陀),0,0,0.93,0.86,0.87
1362,150942800,888Starz,2.33,3.3,3.01,40.32,28.47,31.21,93.95,2.6,3.08,2.7,35.62,30.07,34.3,92.62,0.92,0.92,0.94,"2026,03-1,06,12,53,00",888Star*,0,0,0.83,0.98,1.05
1381,150942377,All British Casino,2.28,3.25,2.9,40.2,28.2,31.6,91.65,2.5,3.1,2.8,37.05,29.88,33.08,92.62,0.89,0.92,0.97,"2026,03-1,06,23,05,00",All British Casin*,0,0,0.81,0.97,1.01
1412,151041716,Batery,2.65,3.1,2.4,33.8,28.89,37.32,89.56,2.45,3,2.7,36.71,29.98,33.31,89.94,0.87,0.89,0.94,"2026,03-1,06,23,13,00",Bater*,0,0,0.94,0.92,0.83
1378,150965416,BC.Game,2.32,3.15,2.96,39.68,29.22,31.1,92.05,2.5,3.1,2.74,36.78,29.66,33.56,91.95,0.89,0.92,0.95,"2026,03-1,06,23,05,00",BC.Gam*,0,0,0.82,0.94,1.03
1354,150963473,BeOnBet,2.32,3.15,2.96,39.68,29.22,31.1,92.05,2.6,3.25,2.56,35.52,28.41,36.07,92.34,0.92,0.97,0.89,"2026,03-1,05,14,42,00",BeOnBe*,0,0,0.82,0.94,1.03
1306,151024941,Bet Sensation,2.75,3.17,2.5,33.7,29.23,37.07,92.67,2.53,3.14,2.88,37.25,30.02,32.73,94.26,0.90,0.94,1.00,"2026,03-1,06,23,13,00",Bet Sensatio*,0,0,0.97,0.94,0.87
1167,151081152,Bet25,2.55,3.05,2.5,35.01,29.27,35.71,89.28,2.7,3.1,2.55,34.13,29.73,36.14,92.16,0.96,0.92,0.89,"2026,03-1,06,22,26,00",Bet2*,0,0,0.90,0.91,0.87
1210,150965424,Bet9ja,2.3,3.3,3,40.59,28.29,31.12,93.36,2.6,3.15,2.7,35.86,29.6,34.54,93.24,0.92,0.94,0.94,"2026,03-1,06,23,05,00",Bet9j* (尼日利亚),0,0,0.81,0.98,1.04
1377,150916149,Betano,2.35,3.35,3.05,40.45,28.38,31.17,95.07,2.57,3.15,2.9,37.01,30.19,32.8,95.11,0.91,0.94,1.01,"2026,03-1,06,23,05,00",Betan*,0,0,0.83,1.00,1.06
1403,151090475,BetAndYou,2.62,3.2,2.6,35.38,28.97,35.65,92.7,2.62,3.2,2.6,35.38,28.97,35.65,92.7,0.93,0.95,0.90,"2026,03-1,03,23,38,00",BetAndYo*,0,0,0.93,0.95,0.90
1096,151024937,Betboro,2.68,3.08,2.43,33.64,29.27,37.1,90.14,2.47,3.05,2.8,37.15,30.08,32.77,91.75,0.88,0.91,0.97,"2026,03-1,06,23,13,00",Betb*,0,0,0.95,0.92,0.84
1356,150945129,BetBoom,2.32,3.28,3.03,40.44,28.6,30.96,93.81,2.62,3.16,2.73,35.86,29.73,34.41,93.95,0.93,0.94,0.95,"2026,03-1,06,23,13,00",BetBoo*,0,0,0.82,0.98,1.05
1334,150945128,BetBoom.ru,2.27,3.21,2.96,40.42,28.58,31,91.75,2.56,3.09,2.67,35.88,29.72,34.4,91.85,0.91,0.92,0.93,"2026,03-1,06,23,13,00",BetBoo*.ru,0,0,0.80,0.96,1.03
872,151030674,Betflag,2.7,3.1,2.45,33.64,29.3,37.07,90.82,2.7,3.05,2.55,33.97,30.07,35.96,91.71,0.96,0.91,0.89,"2026,03-1,06,22,26,00",Betf*(意大利),0,0,0.96,0.92,0.85
1036,151075572,Betfair AUS,2.58,2.6,2.2,31.6,31.35,37.05,81.52,2.92,3.25,2.74,33.74,30.31,35.95,98.51,1.03,0.97,0.95,"2026,03-1,06,22,26,00",Betfair AU*,0,0,0.91,0.77,0.76
1055,151078208,Betfair Exchange,2.64,3.05,2.64,34.9,30.21,34.9,92.13,2.92,3.25,2.74,33.74,30.31,35.95,98.51,1.03,0.97,0.95,"2026,03-1,06,23,27,00",Betfair Excha*,0,0,0.94,0.91,0.92
988,150970926,Betfair SB,2.3,3.1,2.88,39.36,29.2,31.43,90.53,2.63,3,2.5,34.15,29.93,35.92,89.8,0.93,0.89,0.87,"2026,03-1,06,22,26,00",Betfair S*,0,0,0.81,0.92,1.00
1355,151097885,Betibet,2.52,3.12,2.48,35.41,28.6,35.98,89.24,2.45,3.02,2.78,37.14,30.13,32.73,90.99,0.87,0.90,0.97,"2026,03-1,06,23,12,00",Betibe*,0,0,0.89,0.93,0.86
1255,151025526,BetInAsia,2.79,3.22,2.53,33.68,29.18,37.14,93.96,2.68,3.25,2.84,36.12,29.79,34.09,96.81,0.95,0.97,0.99,"2026,03-1,06,23,27,00",BetInA*,0,0,0.99,0.96,0.88
1265,151025031,BetKing,2.58,3.2,2.7,36.21,29.19,34.6,93.42,2.72,3.15,2.58,34.27,29.59,36.13,93.22,0.96,0.94,0.90,"2026,03-1,06,22,26,00",BetK*,0,0,0.91,0.95,0.94
1422,151090479,Betlabel ES,2.62,3.2,2.6,35.38,28.97,35.65,92.7,2.82,3.05,2.52,32.86,30.38,36.77,92.65,1.00,0.91,0.88,"2026,03-1,06,21,59,00",Betlabe* ES,0,0,0.93,0.95,0.90
1383,151023721,BetMGM,2.35,3.3,2.9,39.64,28.23,32.13,93.16,2.6,3.2,2.65,35.8,29.08,35.12,93.07,0.92,0.95,0.92,"2026,03-1,06,23,05,00",BetMG*,0,0,0.83,0.98,1.01
775,151139651,Betonline,2.7,3.32,2.7,35.55,28.91,35.55,95.97,2.85,3.16,2.65,33.59,30.29,36.12,95.72,1.01,0.94,0.92,"2026,03-1,06,22,26,00",Betonl*,0,0,0.96,0.99,0.94
1411,151157589,Betovo,2.66,3.2,2.66,35.32,29.36,35.32,93.95,2.57,3.1,2.83,36.53,30.29,33.18,93.89,0.91,0.92,0.98,"2026,03-1,06,23,13,00",Betov*,0,0,0.94,0.95,0.92
1346,150966929,BetPlay,2.3,3.15,2.9,39.63,28.94,31.43,91.15,2.55,3.05,2.6,35.5,29.68,34.82,90.53,0.90,0.91,0.90,"2026,03-1,06,22,26,00",BetPla*,0,0,0.81,0.94,1.01
1149,150966930,BetRebels,2.29,3.25,2.9,40.09,28.25,31.66,91.81,2.86,3.1,2.55,32.85,30.31,36.84,93.95,1.01,0.92,0.89,"2026,03-1,06,22,26,00",BetReb*,0,0,0.81,0.97,1.01
494,151011433,Betsson Sportsbook,2.32,3.15,3.05,40.05,29.49,30.46,92.91,2.78,3.05,2.62,33.64,30.66,35.7,93.52,0.98,0.91,0.91,"2026,03-1,06,22,26,00",Betsson Sportsb*(英国),0,0,0.82,0.94,1.06
482,150966931,Betway,2.3,3.1,2.8,39.01,28.94,32.04,89.73,2.7,3,2.5,33.56,30.2,36.24,90.6,0.96,0.89,0.87,"2026,03-1,06,22,26,00",Betwa*(直布罗陀),0,0,0.81,0.92,0.97
1410,151170302,Boomerang-bet,2.66,3.2,2.66,35.32,29.36,35.32,93.95,2.66,3.2,2.66,35.32,29.36,35.32,93.95,0.94,0.95,0.92,"2026,03-1,06,08,21,00",Boomerang-be*,0,0,0.94,0.95,0.92
874,150974826,Bovada,2.35,3.15,2.9,39.12,29.18,31.7,91.93,2.7,3.1,2.5,33.89,29.51,36.6,91.5,0.96,0.92,0.87,"2026,03-1,06,22,26,00",Bov*,0,0,0.83,0.94,1.01
354,151053229,Boylesports,2.6,3.1,2.4,34.22,28.7,37.07,88.98,2.7,3,2.4,33.06,29.75,37.19,89.26,0.96,0.89,0.83,"2026,03-1,06,22,26,00",Boylespo*(马恩岛),0,0,0.92,0.92,0.83
686,151025032,BWin.it,2.5,3.2,2.8,37.4,29.22,33.39,93.49,2.75,3.2,2.5,33.79,29.04,37.17,92.93,0.97,0.95,0.87,"2026,03-1,06,22,26,00",BWi*.it(意大利),0,0,0.89,0.95,0.97
1374,150942375,Campobet,2.22,3.2,2.85,40.44,28.06,31.5,89.78,2.54,3,2.71,35.92,30.41,33.67,91.24,0.90,0.89,0.94,"2026,03-1,06,23,05,00",Campobe*,0,0,0.79,0.95,0.99
1375,151009925,Cashwin,2.28,3.25,2.9,40.2,28.2,31.6,91.65,2.57,3.1,2.83,36.53,30.29,33.18,93.89,0.91,0.92,0.98,"2026,03-1,06,23,05,00",Cashwi*,0,0,0.81,0.97,1.01
1358,151023982,Cloudbet,2.78,3.21,2.52,33.68,29.17,37.15,93.63,2.57,3.22,2.93,37.38,29.83,32.79,96.07,0.91,0.96,1.02,"2026,03-1,06,23,13,00",Cloudbe*,0,0,0.98,0.96,0.88
996,151053230,CMD368.com,2.63,3.1,2.4,33.96,28.82,37.22,89.33,2.65,3.01,2.55,34.25,30.15,35.59,90.77,0.94,0.90,0.89,"2026,03-1,06,22,26,00",CMD*.com,0,0,0.93,0.92,0.83
1396,151138540,Codere,2.6,3.05,2.6,35.06,29.89,35.06,91.15,2.6,3.05,2.6,35.06,29.89,35.06,91.15,0.92,0.91,0.90,"2026,03-1,05,09,59,00",Coder*,0,0,0.92,0.91,0.90
1261,150999891,colbet,2.28,3.2,2.95,40.24,28.67,31.1,91.74,2.77,3.15,2.5,33.47,29.44,37.09,92.72,0.98,0.94,0.87,"2026,03-1,06,22,26,00",col*,0,0,0.81,0.95,1.03
832,150974827,ComeOn,2.26,3.2,2.9,40.23,28.41,31.35,90.93,2.8,3.25,2.65,34.27,29.52,36.21,95.95,0.99,0.97,0.92,"2026,03-1,06,22,26,00",Com*,0,0,0.80,0.95,1.01
1132,150966932,CoolBet,2.4,3.4,2.95,39.69,28.02,32.29,95.26,2.9,3.15,2.64,33.12,30.49,36.38,96.05,1.03,0.94,0.92,"2026,03-1,06,22,26,00",Cool*,0,0,0.85,1.01,1.03
1404,150942801,Cosmobet,2.22,3.13,2.85,40.19,28.51,31.31,89.22,2.51,3.15,2.75,36.91,29.41,33.69,92.64,0.89,0.94,0.96,"2026,03-1,06,23,13,00",Cosmobe*,0,0,0.79,0.93,0.99
798,150999892,Dafabet,2.31,3.3,3,40.49,28.34,31.17,93.52,2.8,3.25,2.65,34.27,29.52,36.21,95.95,0.99,0.97,0.92,"2026,03-1,06,22,26,00",Dafa*(菲律宾),0,0,0.82,0.98,1.04
623,150974825,Dansk Tipstjeneste,2.2,3,2.8,39.7,29.11,31.19,87.33,2.7,3,2.5,33.56,30.2,36.24,90.6,0.96,0.89,0.87,"2026,03-1,06,22,26,00",Dansk Tipstjene*(丹麦),0,0,0.78,0.89,0.97
854,151075573,Denmark,2.5,3,2.5,35.29,29.41,35.29,88.24,2.5,3,2.5,35.29,29.41,35.29,88.24,0.89,0.89,0.87,"2026,03-1,03,13,23,00",Denm*(丹麦),0,0,0.89,0.89,0.87
1390,151040021,DraftKings,2.75,3.15,2.5,33.64,29.36,37,92.5,2.65,3.25,2.6,35.28,28.77,35.96,93.49,0.94,0.97,0.90,"2026,03-1,03,23,53,00",DraftKing*,0,0,0.97,0.94,0.87
1333,151133766,Everygame,2.55,3.2,2.55,35.75,28.49,35.75,91.17,2.45,3,2.8,37.15,30.34,32.51,91.02,0.87,0.89,0.97,"2026,03-1,06,23,13,00",Everygam*,0,0,0.90,0.95,0.89
1415,151090477,Fairpari,2.62,3.2,2.6,35.38,28.97,35.65,92.7,2.8,3.04,2.54,33.08,30.46,36.46,92.61,0.99,0.91,0.88,"2026,03-1,06,21,13,00",Fairpar*,0,0,0.93,0.95,0.90
1249,150965418,Fanduel,2.3,3.2,2.9,39.81,28.61,31.57,91.57,2.6,3.1,2.65,35.46,29.74,34.79,92.2,0.92,0.92,0.92,"2026,03-1,06,23,05,00",Fand*,0,0,0.81,0.95,1.01
